bulb_number,timestamp,power_consumption (Watts),voltage_levels (Volts),current_fluctuations (Amperes),temperature (Celsius),environmental_conditions,current_fluctuations_env (Amperes),fault_type
22,2023-06-16 15:10:08,93.01,230.33,1.23,17.69,Cloudy,4.48,0
22,2023-05-03 01:12:51,138.55,212.85,1.65,22.55,Clear,2.41,0
22,2023-10-14 13:24:56,149.05,232.84,2.4,29.74,Cloudy,4.57,0
22,2023-01-23 10:29:00,58.99,217.99,1.5,13.69,Rainy,1.56,0
22,2023-08-20 05:19:55,113.72,211.55,0.64,11.92,Cloudy,0.23,0
22,2023-05-12 15:43:03,122.22,220.01,4.68,12.06,Rainy,6.889636852198377,4
22,2023-01-30 21:27:13,142.88,217.43,4.13,11.23,Rainy,4.76,0
22,2023-01-11 17:26:55,57.09,217.23,2.32,25.12,Clear,4.76,0
22,2023-07-24 15:42:16,103.44866633867645,232.72,3.64,21.42,Clear,3.45,3
22,2023-03-23 13:52:53,116.24,233.58,2.37,27.47,Cloudy,4.17,0
22,2023-02-20 13:54:19,179.52,213.9,1.22,10.59,Cloudy,4.91,0
22,2023-03-12 00:10:01,85.42,221.01,1.37,10.8,Clear,1.31,0
22,2023-03-10 03:13:49,45.6664813341749,221.83,4.83,23.97,Clear,3.53,3
22,2023-10-23 18:24:34,171.7,237.25,4.81,11.98,Clear,4.4,0
22,2023-11-19 09:23:37,83.76,221.92,1.73,23.5,Cloudy,2.99,0
22,2023-07-10 08:01:24,66.37,233.48,2.2,10.04,Cloudy,2.07,0
22,2023-07-11 00:05:34,127.45,212.07,0.76,29.87,Clear,4.36,0
22,2023-01-23 05:12:00,59.03702149948631,227.41,1.9,20.87,Cloudy,2.35,3
22,2023-05-25 10:48:54,97.31,213.77,2.44,28.15,Clear,9.812759205447414,4
22,2023-06-06 22:56:07,197.85,210.46,3.65,15.46,Rainy,4.33,0
22,2023-01-13 13:49:17,142.43651153279032,222.71,2.37,15.3,Clear,1.44,3
22,2023-06-14 23:42:50,183.33,215.76,6.101629551591643,12.17,Rainy,4.94,1
22,2023-11-10 04:51:36,112.27514572556768,230.79,3.74,14.08,Cloudy,4.67,3
22,2023-10-18 01:24:05,63.87,221.91,3.01,17.06,Cloudy,3.5,0
22,2023-08-09 20:05:55,182.31,233.16,6.574838494992299,20.24,Clear,1.27,1
22,2023-12-12 19:54:26,69.8817060648852,238.02,4.54,13.12,Clear,4.11,3
22,2023-07-12 09:58:53,196.28,234.36764749736767,3.61,20.36,Cloudy,0.35,2
22,2023-12-04 05:37:22,68.32,218.89,1.3,24.57,Clear,3.58,0
22,2023-12-10 03:10:18,195.71,219.31,4.69,22.26,Clear,2.48,0
22,2023-11-10 02:32:49,150.18,231.08,0.86,25.03,Clear,3.63,0
23,2023-03-17 08:22:48,199.63,237.36,3.42,24.25,Cloudy,4.73,0
23,2023-01-16 06:39:12,195.08,234.81,3.84,12.23,Cloudy,4.15,0
